,average_of_bi-directional_entire-structure-averages,percent_of_different-structure_(from_neuron_1_to_2),percent_of_different-structure_(from_neuron_2_to_1),percent_of_different-structure_(average)
../auto_3/084_auto_3.cropped.swc,38.3823,0.8312700000000001,0.344695,0.587982
../auto_3/120_auto_3.cropped.swc,13.4123,0.40765500000000005,0.379181,0.393418
../auto_3/048_auto_3.cropped.swc,13.7856,0.291059,0.432827,0.36194299999999996
../auto_3/025_auto_3.cropped.swc,13.5684,0.37656100000000003,0.32969699999999996,0.35312899999999997
../auto_3/023_auto_3.cropped.swc,11.3575,0.544392,0.156583,0.350488
../auto_3/089_auto_3.cropped.swc,10.1189,0.467938,0.20809499999999997,0.338017
../auto_3/039_auto_3.cropped.swc,10.7943,0.307242,0.35142199999999996,0.329332
../auto_3/101_auto_3.cropped.swc,8.678230000000001,0.38097,0.260579,0.320774
../auto_3/088_auto_3.cropped.swc,7.72013,0.43539300000000003,0.190994,0.31319400000000003
../auto_3/065_auto_3.cropped.swc,7.73055,0.0831696,0.507311,0.29524
../auto_3/010_auto_3.cropped.swc,9.62932,0.24553000000000003,0.343354,0.294442
../auto_3/014_auto_3.cropped.swc,12.0612,0.566878,0.0177903,0.29233400000000004
../auto_3/040_auto_3.cropped.swc,9.46508,0.043039999999999995,0.510141,0.276591
../auto_3/081_auto_3.cropped.swc,10.4967,0.378739,0.140279,0.259509
../auto_3/064_auto_3.cropped.swc,8.16392,0.05903049999999999,0.442594,0.250812
../auto_3/027_auto_3.cropped.swc,18.7545,0.498305,0.0,0.249153
../auto_3/004_auto_3.cropped.swc,7.6727,0.29399200000000003,0.18216400000000002,0.238078
../auto_3/093_auto_3.cropped.swc,7.25519,0.349055,0.12473699999999999,0.236896
../auto_3/076_auto_3.cropped.swc,10.2826,0.360087,0.106251,0.23316900000000002
../auto_3/108_auto_3.cropped.swc,9.69407,0.459146,0.0,0.229573
../auto_3/031_auto_3.cropped.swc,14.3465,0.44664499999999996,0.00613497,0.22639
../auto_3/080_auto_3.cropped.swc,6.48881,0.137713,0.306815,0.222264
../auto_3/050_auto_3.cropped.swc,7.11653,0.43905500000000003,0.0006775069999999999,0.21986599999999998
../auto_3/083_auto_3.cropped.swc,6.58466,0.309709,0.124543,0.217126
../auto_3/066_auto_3.cropped.swc,6.5105699999999995,0.08089539999999999,0.34679699999999997,0.213846
../auto_3/119_auto_3.cropped.swc,6.85226,0.0281405,0.393264,0.210702
../auto_3/095_auto_3.cropped.swc,6.95445,0.39723200000000003,0.010805,0.204018
../auto_3/111_auto_3.cropped.swc,8.342210000000001,0.405491,0.0,0.202745
../auto_3/082_auto_3.cropped.swc,6.97985,0.292014,0.10144700000000001,0.19673
../auto_3/098_auto_3.cropped.swc,6.00076,0.236175,0.149345,0.19276
../auto_3/008_auto_3.cropped.swc,4.80636,0.0591091,0.319073,0.189091
